Lattitude,Longitude,Total Doses,Sessions,Sites ,Total Doses/500000,Sessions/786,Sites/54 ,(f+g+h)/3,Out of 100
21.76287,72.15331,1591830,14382,46,3.18366,0.058524173,0.851851852,4.094036025,40.94036025
21.76287,72.15331,1513544,31510,75,3.027088,0.095419847,1.388888889,4.511396736,45.11396736
21.8156,80.18845,687905,29104,111,1.37581,0.141221374,2.055555556,3.57258693,35.7258693
21.82292,75.61394,1096406,110300,182,2.192812,0.231552163,3.37037037,5.794734533,57.94734533
21.82427,76.35086,1001857,60569,105,2.003714,0.133587786,1.944444444,4.081746231,40.81746231
21.85531,84.00698,1169829,41202,32,2.339658,0.040712468,0.592592593,2.972963061,29.72963061
21.89764,83.3966,57601,5580,9,0.115202,0.011450382,0.166666667,0.293319048,2.933190483
21.90056,77.90229,942471,33895,148,1.884942,0.188295165,2.740740741,4.813977906,48.13977906
21.90174,70.0327,2004814,161910,237,4.009628,0.301526718,4.388888889,8.700043606,87.00043606
22.03232,74.89982,1475211,113902,163,2.950422,0.207379135,3.018518519,6.176319653,61.76319653
22.05697,78.93958,1291889,36295,152,2.583778,0.193384224,2.814814815,5.591977039,55.91977039
22.06566,81.68543,907491,41250,91,1.814982,0.115776081,1.685185185,3.615943267,36.15943267
22.08005,82.15543,127177,12072,56,0.254354,0.071246819,1.037037037,1.362637856,13.62637856
22.08005,82.15543,1041282,27696,52,2.082564,0.066157761,0.962962963,3.111684724,31.11684724
22.11667,84.03333,493021,10294,50,0.986042,0.063613232,0.925925926,1.975581157,19.75581157
22.16917,71.66671,609883,5240,14,1.219766,0.017811705,0.259259259,1.496836964,14.96836964
22.29161,70.79322,1433454,2966,27,2.866908,0.034351145,0.5,3.401259145,34.01259145
22.29161,70.79322,614711,8409,109,1.229422,0.138676845,2.018518519,3.386617363,33.86617363
22.29941,73.20812,660752,9265,12,1.321504,0.015267176,0.222222222,1.558993398,15.58993398
22.29941,73.20812,1582623,17271,105,3.165246,0.133587786,1.944444444,5.243278231,52.43278231
22.3458,82.69633,316408,73902,28,0.632816,0.03562341,0.518518519,1.186957928,11.86957928
22.45384,86.99497,1120718,21120,59,2.241436,0.075063613,1.092592593,3.409092206,34.09092206
22.47292,70.06673,858749,3370,34,1.717498,0.043256997,0.62962963,2.390384627,23.90384627
22.47292,70.06673,1026067,15600,39,2.052134,0.049618321,0.722222222,2.823974543,28.23974543
22.49183,92.98143,73532,1158,4,0.147064,0.005089059,0.074074074,0.226227133,2.262271326
22.56263,88.36304,279917,3271,9,0.559834,0.011450382,0.166666667,0.737951048,7.379510483
22.59373,75.29774,1354010,23552,94,2.70802,0.119592875,1.740740741,4.568353616,45.68353616
22.59879,80.37115,1372558,20316,125,2.745116,0.159033079,2.314814815,5.218963894,52.18963894
22.61523,84.50208,566913,9971,35,1.133826,0.044529262,0.648148148,1.82650341,18.2650341
22.71792,75.8333,1121245,37380,122,2.24249,0.155216285,2.259259259,4.656965544,46.56965544
22.74747,77.72736,493315,16450,64,0.98663,0.081424936,1.185185185,2.253240122,22.53240122
22.75218,72.68533,357125,11580,15,0.71425,0.019083969,0.277777778,1.011111747,10.11111747
22.81731,70.8377,1943723,19408,132,3.887446,0.167938931,2.444444444,6.499829376,64.99829376
22.89247,92.74218,69813,2900,4,0.139626,0.005089059,0.074074074,0.218789133,2.187891326
22.94141,81.07975,1722323,51350,60,3.444646,0.076335878,1.111111111,4.632092989,46.32092989
22.96585,76.05526,710191,17643,85,1.420382,0.108142494,1.574074074,3.102598568,31.02598568
23.02579,72.58727,1715655,32166,97,3.43131,0.123409669,1.796296296,5.351015966,53.51015966
23.02579,72.58727,1018549,47720,47,2.037098,0.059796438,0.87037037,2.967264808,29.67264808
23.04268,84.54429,631984,16232,71,1.263968,0.090330789,1.314814815,2.669113604,26.69113604
23.0738,87.31991,1343896,71789,123,2.687792,0.15648855,2.277777778,5.122058327,51.22058327
23.07602,85.27818,445025,25711,103,0.89005,0.131043257,1.907407407,2.928500664,29.28500664
23.10344,81.69083,442415,55568,188,0.88483,0.239185751,3.481481481,4.605497232,46.05497232
23.18239,75.77643,1106604,68502,177,2.213208,0.22519084,3.277777778,5.716176617,57.16176617
23.2,77.08333,1672633,107280,147,3.345266,0.187022901,2.722222222,6.254511123,62.54511123
23.21347,82.86836,172430,4540,15,0.34486,0.019083969,0.277777778,0.641721747,6.417217472
23.21667,72.68333,709101,5951,57,1.418202,0.072519084,1.055555556,2.54627664,25.4627664
23.21667,72.68333,1140830,18401,39,2.28166,0.049618321,0.722222222,3.053500543,30.53500543
23.23241,87.0716,962826,13444,32,1.925652,0.040712468,0.592592593,2.558957061,25.58957061
23.23241,87.0716,1469879,44062,96,2.939758,0.122137405,1.777777778,4.839673182,48.39673182
23.25469,77.40289,1246064,216050,119,2.492128,0.151399491,2.203703704,4.847231195,48.47231195
23.29312,92.84679,66301,8000,4,0.132602,0.005089059,0.074074074,0.211765133,2.117651326
23.29356,81.3619,1145188,56566,219,2.290376,0.278625954,4.055555556,6.62455751,66.2455751
23.33033,75.04032,1343197,30030,128,2.686394,0.162849873,2.37037037,5.219614243,52.19614243
23.33033,77.7811,676797,55670,189,1.353594,0.240458015,3.5,5.094052015,50.94052015
23.34316,85.3094,621696,8082,31,1.243392,0.039440204,0.574074074,1.856906278,18.56906278
23.36453,81.04374,2696290,313,8,5.39258,0.010178117,0.148148148,5.550906265,55.50906265
23.42637,76.27775,961581,36821,47,1.923162,0.059796438,0.87037037,2.853328808,28.53328808
23.43305,84.67992,328832,16800,53,0.657664,0.067430025,0.981481481,1.706575507,17.06575507
23.52473,80.83716,2102307,70748,172,4.204614,0.218829517,3.185185185,7.608628702,76.08628702
23.52604,77.81092,525231,51810,58,1.050462,0.073791349,1.074074074,2.198327423,21.98327423
23.72894,92.71791,110152,11880,52,0.220304,0.066157761,0.962962963,1.249424724,12.49424724
23.72894,92.71791,313633,13512,13,0.627266,0.01653944,0.240740741,0.884546181,8.845461809
23.74423,84.49984,455888,7553,16,0.911776,0.020356234,0.296296296,1.22842853,12.2842853
23.78707,85.95644,529655,87076,143,1.05931,0.181933842,2.648148148,3.88939199,38.8939199
23.79759,86.42992,685660,13055,32,1.37132,0.040712468,0.592592593,2.004625061,20.04625061
23.83312,79.4419,1793770,52774,202,3.58754,0.256997455,3.740740741,7.585278196,75.85278196
23.92703,92.48968,152591,1080,4,0.305182,0.005089059,0.074074074,0.384345133,3.843451326
23.963,86.80285,1021290,9773,33,2.04258,0.041984733,0.611111111,2.695675844,26.95675844
23.99241,85.36162,485362,18924,55,0.970724,0.069974555,1.018518519,2.059217073,20.59217073
24.04488,78.96094,1466604,8248,26,2.933208,0.03307888,0.481481481,3.447768362,34.47768362
24.07184,75.06986,795907,50850,57,1.591814,0.072519084,1.055555556,2.71988864,27.1988864
24.07964,91.59972,413744,40024,31,0.827488,0.039440204,0.574074074,1.441002278,14.41002278
24.16002,83.80755,1853421,51411,134,3.706842,0.170483461,2.481481481,6.358806942,63.58806942
