Lattitude,Longitude,Total Doses,Sessions,Sites 
16.29974,80.45729,4123719,252337,282
26.54706,80.48781,1265297,20531,59
27.56192,80.68265,1337259,21908,30
27.94822,80.77935,599666,15752,43
24.57726,80.82719,2058854,74000,70
23.52473,80.83716,2102307,70748,172
26.83928,80.92313,645843,40378,83
23.36453,81.04374,2696290,313,8
22.94141,81.07975,1722323,51350,60
20.73081,81.20578,1344186,23580,62
26.38126,81.27436,3792267,81492,123
21.19147,81.27619,612694,11762,44
24.53256,81.29234,1322005,12002,54
23.29356,81.3619,1145188,56566,219
24.83648,81.36448,984562,25989,75
21.03333,81.53333,1477257,10099,51
20.70718,81.54874,199213,6670,62
18.39014,81.65941,1275393,52124,124
19.59083,81.664,458614,30240,25
22.06566,81.68543,907491,41250,91
23.10344,81.69083,442415,55568,188
26.15696,81.80519,1166613,48142,48
24.4038,81.87954,1349716,68352,202
25.89509,81.9424,1570108,93295,262
25.89509,81.9424,1042634,15405,19
20.63323,82.06221,1266944,18829,73
26.25788,82.07269,831800,18321,33
21.10743,82.0948,387389,67040,70
22.08005,82.15543,127177,12072,56
22.08005,82.15543,1041282,27696,52
21.65678,82.16062,673240,66424,64
27.42949,82.18545,635859,15400,17
27.42949,82.18545,1874610,62319,120
16.73308,82.21364,765718,82280,40
25.1449,82.56534,2279956,91450,89
25.39526,82.5703,1307016,70099,131
24.19973,82.67535,781575,30903,32
25.75356,82.68689,893935,22900,81
22.3458,82.69633,316408,73902,28
18.81199,82.71048,3155313,60204,121
26.78817,82.71617,2404933,81494,252
23.21347,82.86836,172430,4540,15
25.31668,83.01041,1570061,295471,199
26.06832,83.18358,1300523,22875,53
17.68009,83.20161,2253586,748413,624
25.25803,83.26825,1932718,151984,102
21.89764,83.3966,57601,5580,9
18.11692,83.41148,3925207,126649,149
20.70419,83.49029,802475,43480,54
25.94167,83.56111,1393091,24774,49
25.58333,83.58526,2761004,57451,71
21.33348,83.61905,1468727,42630,120
26.50167,83.77936,466282,41827,130
24.16002,83.80755,1853421,51411,134
18.2989,83.89751,2760855,317245,95
21.46527,83.97573,636918,89300,101
25.57548,83.98043,1363719,45050,58
21.85531,84.00698,1169829,41202,32
22.11667,84.03333,493021,10294,50
26.22096,84.35609,1575738,125100,284
26.46734,84.44041,2102736,249600,193
23.74423,84.49984,455888,7553,16
22.61523,84.50208,566913,9971,35
23.04268,84.54429,631984,16232,71
23.43305,84.67992,328832,16800,53
21.53827,84.73337,1672485,35759,106
24.20645,84.87085,1076366,14135,38
24.79686,85.00385,2856237,120230,152
19.38705,85.05079,350745,14248,23
20.12882,85.09626,702252,67160,69
20.84089,85.10192,54872,1420,3
25.59408,85.13563,1032625,146710,146
23.07602,85.27818,445025,25711,103
26.51393,85.29341,312816,1452,5
23.34316,85.3094,621696,8082,31
23.99241,85.36162,485362,18924,55
26.12259,85.39055,809898,21350,52
26.59357,85.4906,343446,1100,6
24.8867,85.54364,1611839,35100,52
20.65744,85.59693,251742,13011,12
25.86222,85.77953,932819,37600,127
19.79825,85.82494,457028,13024,44
25.13994,85.84096,2099708,88550,37
20.46497,85.87927,283655,18244,12
26.15216,85.89707,964127,12670,41
23.78707,85.95644,529655,87076,143
26.35367,86.07169,923899,118510,99
25.41853,86.13389,1028174,14320,37
24.92606,86.22531,1287676,9200,12
24.18622,86.30875,520217,19996,28
20.84852,86.33729,699177,22061,101
23.79759,86.42992,685660,13055,32
25.5022,86.46708,1379503,73300,120
26.11527,86.59509,1871207,35972,27
25.87498,86.59611,1553727,15106,23
23.963,86.80285,1021290,9773,33
24.88091,86.92257,1213194,0,0
21.49266,86.93348,1016221,31987,100
25.24446,86.97183,1520263,40240,57
22.45384,86.99497,1120718,21120,59
23.23241,87.0716,962826,13444,32
23.23241,87.0716,1469879,44062,96
24.827,87.2125,1131997,39551,65
24.26778,87.24855,1334730,10112,30
23.0738,87.31991,1343896,71789,123
25.77895,87.47422,4816344,595020,167
26.14934,87.51323,137855,35600,46
25.53852,87.57044,802738,100000,40
25.24425,87.63481,1824573,27620,78
24.63925,87.84239,204399,7707,32
26.10224,87.95534,791669,7700,13
24.1839,88.27171,1853834,37603,106
22.56263,88.36304,279917,3271,9
27.07059,88.47529,666577,28437,37
26.51667,88.73333,2937136,27786,82
26.40107,90.27286,730242,46310,85
26.47703,90.55815,558898,8850,38
26.17668,90.62634,146234,10640,28
26.32293,91.00632,614969,54102,64
24.07964,91.59972,413744,40024,31
27.57417,91.92437,21314,603,3
26.75367,92.10215,876297,5066,7
26.24908,92.34764,172879,4515,15
24.86919,92.35543,292942,26249,70
23.92703,92.48968,152591,1080,4
24.68394,92.56097,864589,12441,55
24.22388,92.67869,118223,5800,5
23.72894,92.71791,110152,11880,52
23.72894,92.71791,313633,13512,13
22.89247,92.74218,69813,2900,4
23.29312,92.84679,66301,8000,4
26.00281,92.85605,510965,39000,70
22.49183,92.98143,73532,1158,4
24.80427,93.12148,432676,8511,31
24.26227,93.18873,22926,808,4
27.14665,93.24643,94686,1770,15
24.33353,93.66999,37209,350,4
25.91174,93.7217,50390,1050,3
26.51167,93.95951,748927,94680,96
25.15273,93.97167,13128,1130,4
24.4982,93.98126,38147,4800,3
24.63881,93.99639,33136,1020,4
24.32987,94.00379,161419,7200,9
25.67467,94.11099,18262,800,4
24.3855,94.1472,26673,474,4
26.75751,94.20306,730139,38045,54
26.09717,94.25817,54686,1800,2
28.52999,94.37322,49908,900,8
25.66667,94.5,29363,600,5
24.85846,94.51549,118698,16080,9
25.96667,94.51667,53748,1306,6
26.3248,94.51834,34325,800,2
27.48333,94.58333,653552,54043,43
26.48989,94.81772,167654,6920,16
26.26704,94.82415,47631,1000,4
27.47989,94.90837,952641,146000,146
26.73583,95.05841,109988,2000,7
27.48905,95.35992,260580,46800,38
27.66904,95.86395,41482,650,6
