Lattitude,Longitude,Total Doses,Sessions,Sites ,Out of 100
26.17668,90.62634,146234,10640,28,8.466099282
26.22096,84.35609,1575738,125100,284,87.72058414
26.22983,78.17337,991900,18610,74,34.48317953
26.24908,92.34764,172879,4515,15,6.426197472
26.25788,82.07269,831800,18321,33,23.16695844
26.26704,94.82415,47631,1000,4,1.744251326
26.32293,91.00632,614969,54102,64,24.96548122
26.3248,94.51834,34325,800,2,1.082315663
26.35367,86.07169,923899,118510,99,38.07085532
26.38126,81.27436,3792267,81492,123,100.1880033
26.40107,90.27286,730242,46310,85,31.42700568
26.4521,74.63867,661873,87106,62,25.50774555
26.46517,79.50918,932624,35000,17,22.01691314
26.46734,84.44041,2102736,249600,193,80.25093148
26.47703,90.55815,558898,8850,38,18.6984576
26.48989,94.81772,167654,6920,16,6.519605304
26.49892,77.99534,1164841,67601,187,60.30558449
26.50167,83.77936,466282,41827,130,35.05365809
26.51167,93.95951,748927,94680,96,33.97769182
26.51393,85.29341,312816,1452,5,7.245859157
26.51667,88.73333,2937136,27786,82,74.97116218
26.54706,80.48781,1265297,20531,59,36.98250206
26.56671,78.78728,1284651,88493,232,71.60763691
26.59357,85.4906,343446,1100,6,8.056366989
26.73583,95.05841,109988,2000,7,3.58511482
26.75367,92.10215,876297,5066,7,18.91129482
26.75751,94.20306,730139,38045,54,25.2898029
26.77615,79.02133,829092,10726,32,22.91489061
26.78817,82.71617,2404933,81494,252,97.97143354
26.83928,80.92313,645843,40378,83,29.34321001
26.89,76.33584,1590536,12416,53,42.29983507
26.91763,70.90387,2535514,54004,111,72.6780493
26.91962,75.78781,1599418,375,3,32.58208349
27.05524,79.9188,1238885,12517,44,33.48564459
27.07059,88.47529,666577,28437,37,20.65412977
27.14665,93.24643,94686,1770,15,4.862337472
27.15092,78.39781,1385174,99850,124,52.24405111
27.18333,78.01667,1084372,55363,102,41.87403881
27.20201,73.73394,1773964,34943,190,73.08176798
27.21731,77.49009,1891492,25252,69,51.48548037
27.22857,79.02882,510631,40810,104,30.79503448
27.25097,75.17893,917268,90756,50,28.24075157
27.39134,79.5793,719928,22203,53,24.88767507
27.39491,80.13165,758315,13750,23,19.71818012
27.42949,82.18545,635859,15400,17,16.08161314
27.42949,82.18545,1874610,62319,120,61.24113978
27.47989,94.90837,952641,146000,146,47.9473634
27.48333,94.58333,653552,54043,43,21.58107675
27.48905,95.35992,260580,46800,38,12.7320976
27.5035,77.67215,857885,61747,111,39.1254693
27.56192,80.68265,1337259,21908,30,32.68241494
27.56246,76.625,2510798,120260,188,87.42263232
27.59551,78.05201,1925703,204524,84,55.13831785
27.61206,75.13996,963548,366098,366,91.70522633
27.66904,95.86395,41482,650,6,2.017086989
27.80882,78.64579,2506246,28331,100,69.91570315
27.88145,78.07464,2485889,48390,78,65.15459086
27.94822,80.77935,599666,15752,43,20.50335675
27.99486,74.95628,872422,112200,141,45.35344424
28.01762,73.31495,2078222,70864,184,77.979481
28.03811,79.12668,2298818,63732,57,57.2571064
28.10296,77.00144,754082,14402,34,21.81050627
28.14469,77.32546,350634,18407,42,15.32480892
28.199,76.6183,953935,24391,36,26.20338193
28.26935,76.15253,770281,22340,41,23.51984109
28.30415,74.96718,1273623,70951,228,70.59544558
28.36678,79.43167,1597443,48411,95,50.75010399
28.40392,77.85773,1919897,118550,104,58.98035448
28.41124,77.31316,557089,35600,34,17.87064627
28.52999,94.37322,49908,900,8,2.581422652
28.58498,78.56959,1884050,97020,102,57.86759881
28.59166,76.27161,915385,75027,140,46.01479641
28.60311,77.13988,2130190,42716,145,71.30043557
28.6063,76.6565,1209080,143960,91,42.19121267
28.63124,79.80436,1453386,44600,77,44.30662303
28.63576,77.22445,1396548,23268,104,48.51337448
28.64201,75.38612,1116217,26260,94,40.92767616
28.66535,77.43915,2445401,23751,52,59.19922724
28.72985,77.78068,620518,31890,72,26.65972387
28.79304,76.13968,1308336,38170,52,36.45792724
28.83893,78.77684,1460701,31040,21,33.37008446
28.89447,76.58917,850943,17256,34,23.74772627
28.90314,78.46984,1136637,41644,103,43.11724664
28.94485,77.21865,1388853,27077,61,39.84943772
28.98002,77.70636,1101881,13340,14,24.80832964
28.99478,77.01937,974131,25799,59,31.15918206
29.15394,75.72294,3079411,42795,124,86.12879111
29.31577,76.31502,826205,43975,45,25.42995242
29.33501,80.07783,419807,4120,26,13.54174362
29.373,78.13636,844858,12681,20,20.85531663
29.38747,76.96825,671529,15810,35,20.3573541
29.44768,75.67206,1824718,102460,106,57.47259014
29.4497,77.30959,1512462,13450,32,36.58229061
29.47091,77.70332,1475650,87380,172,63.55314702
29.51525,75.45554,2112835,122838,68,55.71443254
29.53489,75.02898,814478,18305,42,24.60168892
29.58182,74.32938,905435,105300,220,61.64842293
29.58349,80.20947,617804,23311,51,22.44937941
29.59713,79.65911,2433985,27695,87,65.89768134
29.69197,76.98448,745316,19887,73,29.3535917
29.80153,76.39959,786742,62200,95,34.53608399
29.83738,79.77161,554885,7150,26,16.24330362
29.92009,73.87496,781671,24230,78,31.07023086
29.94791,78.16025,2106748,63170,124,66.67553111
29.9679,77.54522,994356,26440,98,39.28208749
29.98844,75.40167,2848597,116093,49,66.66942374
30.12796,77.28371,1231126,44360,88,42.03840917
30.20747,74.93893,362595,7286,12,9.626793978
30.22243,78.78341,246112,17420,75,19.76532736
30.24506,75.84488,510620,16414,39,17.93080543
30.28467,78.98354,457001,19263,70,22.9935682
30.33625,76.3922,585454,104440,50,21.60447157
30.36099,76.79782,1682693,8922,92,51.8613805
30.37451,75.5487,1478842,107235,92,47.7843605
30.40207,74.02836,434111,73409,89,26.296017
30.67399,74.75579,734692,13574,23,19.24572012
30.69461,76.8504,730134,80650,56,25.68551856
30.72986,78.44342,1648529,70700,84,49.59483785
30.73629,76.7884,1792146,46280,72,50.09228387
30.81383,75.16878,408128,83312,70,22.0161082
30.90908,77.10869,563954,10870,65,24.14308905
30.91204,75.85379,562321,2292,12,13.62131398
31.10442,77.16662,1161839,24892,181,59.0580975
31.24188,77.12362,1218862,35052,62,36.64752555
31.32556,75.57917,1416187,61300,100,48.11452315
31.38011,75.38105,1880108,48601,37,44.92474977
31.44943,77.63087,1373586,30280,50,37.36711157
31.45191,74.92777,555755,19938,44,19.82304459
31.53723,75.91269,1111591,68546,95,41.03306399
31.62234,74.87534,39838,1000,3,1.390483494
32.27484,75.65287,635807,20962,32,19.04919061
32.36941,75.52539,1625573,21575,37,39.83404977
32.55531,76.12647,496252,5762,52,20.21624724
32.56245,75.11993,301930,21090,134,32.55824942
32.73569,74.86911,262526,18197,94,23.85385616
32.92431,75.13573,1087084,216336,82,37.97012218
33.14916,75.54746,698360,130557,149,43.45546689
33.24278,75.23513,508603,66991,102,30.35865881
33.31346,75.76726,594263,72665,147,40.97771123
33.64456,75.01923,183375,18780,76,18.70849519
33.73068,75.15418,655053,10110,54,23.7880829
33.77033,74.09254,692352,100874,76,28.88803519
33.87405,74.89955,491228,64165,87,27.04254134
34.03056,74.26417,444190,54681,132,35.00763376
34.16504,77.58402,142327,1840,12,5.221433978
34.55765,76.12622,986850,136370,75,34.58008736
